pmid,n_bootstrap,converged,median_hr,significant_rate
38073378,1000,1000,1.923847052669668,0.672
38172584,1000,1000,1.0220505852568014,0.041
38183115,1000,1000,0.5644636409287012,0.76
38217031,1000,1000,1.8077521315055476,0.717
38273010,1000,1000,0.7008204484778621,0.342
38282152,1000,1000,1.163323479390218,0.12
38305808,1000,1000,1.7367996800685375,0.571
38332160,1000,1000,1.047107128245756,0.044
38333832,1000,1000,1.291269764429296,0.313
38356551,1000,1000,2.2911006017083753,0.908
38387404,1000,1000,0.7949311476648052,0.175
38507521,1000,1000,0.8278571444699893,0.158
38570787,1000,1000,0.943954178218241,0.07
38714517,1000,1000,1.7172575728660684,0.558
38735911,1000,1000,1.042755735251115,0.064
39033098,1000,1000,0.5745433224398531,0.412
39033778,1000,1000,2.96401142430164,0.977
39115575,1000,1000,1.1829128381085567,0.16
39160525,1000,1000,2.4176127936165366,0.955
39269596,1000,1000,1.1599652515555392,0.129
39343809,1000,1000,1.9716147529402654,0.663
39368544,1000,1000,2.054956949623614,0.815
39380003,1000,1000,0.5491666931672683,0.485
39432593,1000,1000,0.6014340816437604,0.416
39503984,1000,1000,1.2767358124496018,0.165
39507864,1000,1000,0.8903524854872467,0.084
39695796,1000,1000,1.2289158733257595,0.13
39708127,1000,1000,1.177838261075363,0.101
39739621,1000,1000,0.7246587710007525,0.129
39749345,1000,1000,2.4894713506194783,0.551
39769061,1000,1000,1.2562004044036976,0.165
39867879,1000,1000,0.8228645865032962,0.116
39991573,1000,1000,1.3993585467284577,0.282
40018511,1000,1000,0.8771724850856224,0.052
40097551,1000,1000,1.4000917914840714,0.388
40319103,1000,1000,2.652732808570528,0.817
40330458,1000,1000,1.4684208269498904,0.223
40348840,1000,1000,1.1707941796626748,0.092
40376515,1000,1000,0.4040742562940184,0.88
40427675,1000,1000,1.0965239265565674,0.101
40442298,1000,1000,2.498718226023933,0.889
40500142,1000,1000,0.6586460508357779,0.663
40589607,1000,1000,1.121319828004346,0.057
40626022,1000,1000,1.3171095696047401,0.219
40703521,1000,1000,1.4702116860343044,0.454
40735323,1000,1000,3.969849154526832,0.985
40779729,1000,1000,1.876534302142745,0.313
40867253,1000,1000,1.5573090588005059,0.586
40918470,1000,1000,0.9015165059351091,0.07
40994220,1000,1000,0.6654138347583914,0.238
41137061,1000,1000,0.6096815643653668,0.348
41153362,1000,1000,1.3483225144713455,0.109
41198839,1000,1000,0.9401141052026398,0.059
41216727,1000,1000,0.7733623845667117,0.268
41252049,1000,1000,1.1751790023184532,0.089
41337795,1000,1000,0.6891500781607578,0.193
41357226,1000,1000,0.9392324020676541,0.072
41388608,1000,1000,1.1291476826166376,0.143
41505248,1000,1000,2.125633275766076,0.563
41507856,1000,1000,0.8994523359687197,0.064
41533176,1000,1000,2.025219959009622,0.658
41582171,1000,1000,1.0553764171268667,0.044
41584451,1000,1000,0.5276579392990854,0.969
41668898,1000,1000,1.0469095335431935,0.085
41685329,1000,1000,2.1188047225285143,0.829
41715136,1000,1000,0.7514653443154983,0.297
41727459,1000,1000,1.910699637841211,0.755
41809788,1000,1000,1.6172457001841005,0.598
41836241,1000,1000,1.6574898881963591,0.232
41836296,1000,1000,0.6039134032414195,0.619
41862905,1000,1000,0.32213188525382175,0.99
41870815,1000,1000,1.9826410194546669,0.947
41971137,1000,1000,1.0091169148046943,0.055
41981124,1000,1000,0.882703321368367,0.018
41992284,1000,1000,1.1822283610498956,0.059
42030617,1000,1000,2.0766125314489083,0.581
42052292,1000,1000,0.9326297240302812,0.093
42059994,1000,1000,1.9872043576304925,0.715
42159275,1000,1000,1.1881371278427566,0.058
42164400,1000,1000,2.621792821378054,0.944
42215586,1000,1000,0.8571024677915066,0.207
42220482,1000,1000,0.37051196872274605,0.992
42244509,1000,1000,0.918525157829337,0.092
42251607,1000,1000,1.0006062134750808,0.047
42279297,1000,1000,1.6100724712663272,0.443
42319469,1000,1000,1.7871883713492425,0.583
42371282,1000,1000,1.9563409275607677,0.657
42421957,1000,1000,1.0262142614572474,0.04
42436233,1000,1000,1.3660248998478628,0.269
42436798,1000,1000,0.9754437821449632,0.047
42482080,1000,1000,0.7383436055671108,0.239
42493447,1000,1000,1.3578721860064142,0.106
42500328,1000,1000,0.6336195043413699,0.609
42555166,1000,1000,0.6043383711699652,0.22
42576531,1000,1000,1.016970962467346,0.046
