pmid,model,n,events,coef,hr,ci_low,ci_high,pvalue
39160525,music_formal,402,107,0.41454254801947527,1.5136781472236747,0.9194841693922199,2.4918553354724926,0.10311934167748815
39160525,bayesprism_formal,402,107,0.3501629296226306,1.4192987755697875,0.9177283045170058,2.194994972280023,0.1154788356243516
39368544,music_formal,402,107,0.4844842298131936,1.6233375237899885,1.0279184748543435,2.5636514768527965,0.03770272264005446
39368544,bayesprism_formal,402,107,0.4462489097967454,1.5624403248400982,0.9816179807459355,2.4869346492933415,0.0598726943193391
40319103,music_formal,402,107,-0.03583743006870896,0.9647971277372767,0.6298654736124475,1.477829055070314,0.8691615024737189
40319103,bayesprism_formal,402,107,-0.03477546823917228,0.9658222496840281,0.6428993633280687,1.4509465574143163,0.8670006752360944
40376515,music_formal,402,107,-0.7848391875888608,0.4561930573927394,0.253434433448207,0.8211674427258361,0.008872610857559735
40376515,bayesprism_formal,402,107,-0.7559188609353148,0.4695789386929748,0.2611374114021543,0.8443998065234766,0.011573766531094036
40442298,music_formal,402,107,0.42182843033164874,1.5247469019203737,0.8738828654352784,2.660371551921636,0.13746672436401522
40442298,bayesprism_formal,402,107,0.3446985655395917,1.4115643613903093,0.8510421812469267,2.3412634417577847,0.18181344818879666
40735323,music_formal,402,107,1.1918786026345376,3.2932621307309073,1.7448023099364054,6.215933690563245,0.00023559820934956023
40735323,bayesprism_formal,402,107,1.2264569444057796,3.409129378266314,1.8024058761958557,6.448138719059281,0.00016216296053362075
41533176,music_formal,402,107,0.0924239562453309,1.0968297313379272,0.6949130399489043,1.731202884946995,0.6914324231605653
41533176,bayesprism_formal,402,107,0.07241846343233972,1.075105142133131,0.704535597446316,1.6405857572429805,0.7369917373069181
41584451,music_formal,402,107,-0.7564239143904427,0.46934183610731267,0.33445761469523394,0.658623841832125,1.2107013156185081e-05
41584451,bayesprism_formal,402,107,-0.66501276887735,0.5142669610529569,0.37032221732004655,0.7141632201939372,7.207864411637765e-05
41685329,music_formal,402,107,0.7003036733886739,2.0143643234401525,1.205211878335363,3.3667637205442604,0.0075356149546828835
41685329,bayesprism_formal,402,107,0.6740027978221191,1.9620754142134222,1.1734868469174622,3.280599131701683,0.010170913512445205
41727459,music_formal,402,107,0.2513408740629501,1.2857482878836615,0.8214469309653563,2.01248382272608,0.27153896516387394
41727459,bayesprism_formal,402,107,0.19113913511276956,1.210627881210599,0.7665490968331785,1.9119712916228537,0.4123541173009011
41862905,music_formal,402,107,-0.9788169222736657,0.3757553838128966,0.2369861762298326,0.5957820439595898,3.1538838045449126e-05
41862905,bayesprism_formal,402,107,-0.9332471021570502,0.393274631940596,0.2474225789058763,0.6251043733031671,7.910117333146919e-05
41870815,music_formal,402,107,0.6164906079378912,1.8524157682765126,1.2264137637767654,2.797949827301564,0.0033901987630122654
41870815,bayesprism_formal,402,107,0.5999946020464705,1.8221089647044455,1.1924834744224064,2.7841736598189986,0.005540684319007682
42164400,music_formal,402,107,0.8191207711267554,2.268504425858874,1.3275316706303892,3.8764516463080883,0.0027322500215308855
42164400,bayesprism_formal,402,107,0.7613430374233319,2.14114993480334,1.244996135659862,3.6823592555799363,0.005921873505980839
42220482,music_formal,402,107,-0.9607551734397438,0.3826038445892819,0.2555069499283688,0.5729225836539418,3.1029609735483174e-06
42220482,bayesprism_formal,402,107,-0.9625688208348023,0.38191056499560244,0.25496790306759376,0.5720550622271579,3.023180651158673e-06
