pmid,primary_mean,normal_looking_mucosa_mean,normal_looking_minus_primary,mannwhitney_pvalue,qvalue
36211821,0.1356851999693734,-0.3277811355924334,-0.4634663355618068,2.297000384945012e-09,1.35793258051161e-08
36300085,-0.1422855395843783,0.3590197102189266,0.5013052498033049,3.3420624717040264e-11,3.5926725676277856e-10
36358715,-0.0166794917654524,0.1714626207691527,0.1881421125346051,0.030307169667294,0.0437726463074909
36428492,-0.0174621373444889,0.1024878619205121,0.119949999265001,0.0157576780207181,0.024552661102049136
36455365,-0.1154274753350421,0.267289313650474,0.3827167889855161,5.712445128735978e-06,1.6885315748175464e-05
36468020,0.0187629210453546,-0.0108767714344025,-0.0296396924797572,0.6953764695491635,0.7242003646600097
36505302,0.0105744894489069,0.0371742812591255,0.0265997918102185,0.258579750109383,0.3093722010237261
36527532,-0.1585924873888099,0.4222176237734027,0.5808101111622127,7.625182498204208e-13,1.178970524722343e-11
36568387,-0.0764747331536322,0.2437714209051072,0.3202461540587396,0.000235149844903,0.0005193969101703627
36620542,-0.0228756375478268,0.035458553242874,0.0583341907907009,0.0408166494084867,0.058185436390821466
36973645,-0.1948300021744465,0.4696415156395337,0.6644715178139803,1.3905537497775374e-13,2.79501303705285e-12
37138324,0.0198341135120579,0.0253963513835568,0.0055622378714988,0.2995116451074323,0.35205754775785897
37152941,0.08742400012305,-0.1546460271116131,-0.2420700272346632,0.0001111690787969,0.00026288217456678706
37244876,-0.0676546494994246,0.1952547183940807,0.2629093678935054,9.796310430521e-05,0.00023441171387318107
37301098,-0.0437920567148439,0.0968957794162666,0.1406878361311106,0.009094256199592,0.0152328791343166
37379131,-0.080788086734297,0.1659624883287334,0.2467505750630305,0.0002651603882985,0.0005610235583999841
37423913,-0.1253419802190834,0.3117048869711193,0.4370468671902028,2.6937245519810917e-09,1.5469675284234268e-08
37455996,-0.0526775682856755,0.1348231128710809,0.1875006811567564,0.0001951357708307,0.00043990895111930666
37578544,-0.0108912360214456,0.0623231788445551,0.0732144148660008,0.6883956672487825,0.7206642141510692
37588995,-0.1910951545069434,0.5127823126030029,0.7038774671099463,2.0683591539294e-08,9.238670887551319e-08
37594617,-0.2663400230975148,0.6544602501150913,0.9208002732126062,1.5385190591276282e-11,1.8190725346156074e-10
37701108,0.1236365645880614,-0.3751775592285621,-0.4988141238166236,8.445421199907698e-07,2.78283551013352e-06
37740761,0.1992894683779585,-0.5787391800404369,-0.7780286484183954,7.625485978044443e-09,3.649339718064126e-08
37745978,-0.2062512122448232,0.522790957016882,0.7290421692617053,2.7251877919419656e-13,4.979661328912137e-12
37747262,-0.1504762177157891,0.3752408145741744,0.5257170322899636,3.462563953898326e-08,1.391950709467127e-07
37780567,-0.0570853416031723,0.2252836503265832,0.2823689919297555,0.0010022585177626,0.001955863709420219
37807731,0.0503165061254093,-0.0538368434999283,-0.1041533496253377,0.1696124798904374,0.20915403961949644
37845668,0.0069048764849331,-0.0302112224265213,-0.0371160989114545,0.3302552762100944,0.3793217743898798
37849225,-0.0251373601405102,0.0229045674037722,0.0480419275442824,0.4844605391317067,0.5292204802471361
37876438,0.0187580135486419,-0.0391880863153335,-0.0579460998639754,0.2060093464791369,0.24944505206208745
37919060,-0.2249957195703256,0.5935004638929491,0.8184961834632747,3.4031595927084584e-15,1.1400584635573337e-13
