pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5,title,year
41357226,0.1431099235215182,False,0.6247427485342841,0.7136293510567342,5,5,-0.3072577641442602,0.002647310633515,unclassified,unclassified,unclassified,Gene signature for response prediction to immunotherapy and prognostic markers in metastatic urothelial carcinoma.,2025
33535616,0.137685466252394,False,0.9002995508972897,0.4952732985812358,3,3,-0.8250745245544111,5.315059336634705e-10,unclassified,unclassified,unclassified,A Molecular Signature Determines the Prognostic and Therapeutic Subtype of Non-Muscle-Invasive Bladder Cancer Responsive to Intravesical Bacillus Calmette-Guérin Therapy.,2021
42215586,0.1255620131082187,False,0.9928018793158648,0.4111298392124881,3,2,-0.5991415275563846,3.5927067728417236e-09,unclassified,unclassified,unclassified,Ethnicity-specific molecular subtypes and a machine-learning risk model in Asian patients with non-muscle-invasive bladder cancer.,2026
37807731,0.1229804135060092,False,0.309936097083354,0.7305864110552117,5,5,-0.1041533496253377,0.1696124798904374,unclassified,unclassified,unclassified,[Risk modeling based on HER-2 related genes for bladder cancer survival prognosis assessment].,2023
41715136,0.1166476413251995,False,0.3700836877393857,0.3156893229226542,4,4,-0.0347676173858287,0.2060093464791369,unclassified,unclassified,unclassified,"Single-cell transcriptomic analysis and machine learning identify ATAD3A as a key gene that stabilizes mitochondrial-endoplasmic reticulum membranes, promoting bladder cancer progression.",2026
39269596,0.1151718152434006,False,0.7910604236139818,0.5063848913887254,3,3,-0.1928953463024502,0.0444419805219574,unclassified,unclassified,unclassified,"Liquid-liquid phase separation-related genes associated with prognosis, tumor microenvironment characteristics, and tumor cell features in bladder cancer.",2025
38332160,0.1102584558985597,False,0.8764102819516479,0.9375477740791092,7,7,-0.1273691511566435,0.0032850124778985,unclassified,unclassified,unclassified,A novel anoikis-related gene signature identifies LYPD1 as a novel therapy target for bladder cancer.,2024
37138324,0.1039649880283693,False,0.6459257187488843,0.764231153548886,4,4,0.0055622378714988,0.2995116451074323,unclassified,unclassified,unclassified,The potential crosstalk between tumor and plasma cells and its association with clinical outcome and immunotherapy response in bladder cancer.,2023
41836241,0.1013356067152108,False,0.1135447213455779,0.494001472034014,16,16,-0.1846639607120102,0.0003155341950455,unclassified,unclassified,unclassified,A systematic characterization of amino acid metabolism-related genes reveals molecular subtypes and a prognostic signature in bladder cancer.,2026
39115575,0.0843058966638809,False,0.3484685774217434,0.5758004496895578,3,3,-0.032914375220436,0.6693363745708959,unclassified,unclassified,unclassified,A metabolic reprogramming-related gene signature correlates with prognosis and proliferation of BLCA.,2024
37152941,0.0821040845964402,False,0.2338585309875271,0.3386456248807346,4,4,-0.2420700272346632,0.0001111690787969,unclassified,unclassified,unclassified,"Crosstalk of disulfidptosis-related subtypes, establishment of a prognostic signature and immune infiltration characteristics in bladder cancer based on a machine learning survival framework.",2023
37876438,0.0783407710807637,False,0.4198359553743667,0.412171086791175,3,3,-0.0579460998639754,0.2060093464791369,unclassified,unclassified,unclassified,A transcriptome study of p53-pathway related prognostic gene signature set in bladder cancer.,2023
35730624,0.0681689339345402,False,0.1254431113801203,0.3047344351154556,3,3,-0.0587104850207306,0.0304884103634265,unclassified,unclassified,unclassified,Comparison of multiple gene expression platforms for measuring a bladder cancer hypoxia signature.,2022
38282152,0.0536278803508965,False,0.5659679518289314,0.6553772026540157,3,3,-0.1024408246905995,0.0797726938871091,unclassified,unclassified,unclassified,Unveiling Anoikis-related genes: A breakthrough in the prognosis of bladder cancer.,2024
35480865,0.0512474263383271,False,0.7313850118385653,0.8598872595441392,6,5,-0.3981326879899569,4.781255132070744e-09,unclassified,unclassified,unclassified,In Silico Establishment and Validation of Novel Lipid Metabolism-Related Gene Signature in Bladder Cancer.,2022
35626146,0.0467721296370223,False,0.875034976862032,0.8228410895511405,8,8,0.0142247052113006,0.8638043840029183,unclassified,unclassified,unclassified,Gene Expression Monotonicity across Bladder Cancer Stages Informs on the Molecular Pathogenesis and Identifies a Prognostic Eight-Gene Signature.,2022
42500328,0.0326933255731724,False,0.1691603708769122,0.1130070500477289,4,4,-0.1746405319474123,0.0033355271511228,unclassified,unclassified,unclassified,Epigenomics-Guided Multi-Omics Integration Uncovers a Lipid-Metabolic Signature with Translational Utility in Bladder Cancer.,2026
