pmid,pvalue_0,pvalue_001
37152941,0.1481574608853213,0.15211212125734608
37244876,0.8134911746036481,0.6845844487073203
37301098,3.8153688625333695e-05,6.089784074447165e-05
37379131,0.1776398728909393,0.2170742446682325
37423913,0.6724005189267042,0.7325846111264402
37455996,0.42391654027625647,0.44665153437426186
37578544,6.646203290597822e-06,1.0416318101443263e-05
37588995,0.8336209569695077,0.7203835508748165
37594617,0.03349289227419496,0.09600602239865934
37701108,0.38500859504577045,0.35336316880618845
37740761,0.2914190178489041,0.3810195266834976
37745978,0.8984273407756688,0.9273692024117851
37747262,0.4596925435170126,0.5966485947946798
37780567,0.5986251297994198,0.7009907294074814
37807731,0.5689441676092459,0.5614878746217218
37845668,0.7495153899993781,0.7310229681732379
37849225,4.3323348336307287e-05,3.673565378280082e-05
37876438,0.2148811849660815,0.2137620345322258
37919060,0.3692344680894015,0.3549707791251263
37965307,0.48080070908296013,0.38666131435228035
37968767,0.0032835986943608405,0.005299560251083104
38017469,0.7769594361093326,0.8077462933178219
38049825,0.05239426442958405,0.061837184735538474
38073378,0.020150585518256735,0.016874905672610775
38172584,0.8508567798253206,0.9436086198779376
38183115,0.010498087167640929,0.008034469400281765
38217031,0.00833504968083266,0.014560704122925155
38273010,0.1390347902497495,0.10033320750644052
38282152,0.47514847192416054,0.47167406023815817
38305808,0.02275499706435791,0.03853306004107016
38332160,0.8684036257407751,0.8820832204698345
38333832,0.1594907702722651,0.15868729237742368
38356551,0.0003972005574264251,0.001253352748710725
38387404,0.3905138021222452,0.3548445576345428
38507521,0.4108219157632992,0.3621840954537491
38570787,0.5411937653024961,0.6434736231927145
38714517,0.01814413212919623,0.031218358905299188
38735911,0.9928018793158642,0.8915755480139944
39033098,0.06978634951952617,0.0757735630075881
39033778,9.424517820127804e-06,9.724532932113026e-05
39115575,0.37714929454666113,0.3705244678593329
39160525,0.00019408859317045522,0.0006966342832662181
39269596,0.3158575760037175,0.4364353693106495
39343809,0.019016086461385917,0.01903398265711071
39368544,0.0029990099996520677,0.00463505801798664
39380003,0.06896961708063425,0.05798370281177098
39432593,0.08918700442762814,0.07775676409349604
39503984,0.3128534869311893,0.30991845325139566
39507864,0.7671769324992542,0.683546564329947
39695796,0.32734139416700425,0.39443894917178357
39708127,0.30654101813885937,0.4262960388652711
39739621,0.26794409191654794,0.22795049454363558
39749345,0.02820621128317199,0.037174376637301915
39769061,0.3746867445926426,0.37017415878188853
39867879,0.5420862077411953,0.42391685314219885
39991573,0.1275617667135676,0.16054550384969146
40018511,0.7052625125292618,0.6130435983872546
40097551,0.07890149543494454,0.11192540389803295
40319103,0.0003333613761403159,0.006813194367193408
40330458,0.08139926618760417,0.19592393724008758
40348840,0.5638243658427271,0.5461706616071155
40376515,0.001973431766611633,0.002298969152578893
40427675,0.7502534465029291,0.7767601917521361
40442298,0.0007199531260050157,0.001753626361632753
40500142,0.031744320350035084,0.01729763627060846
40589607,0.5603788414647088,0.5770520145148083
40626022,0.2443159809672798,0.21873724780264794
40703521,0.07050973359388094,0.07541297620370034
40735323,2.2467849499689763e-05,4.4193061602494836e-05
40779729,0.0963454385436478,0.16169178052081837
40867253,0.02124233541951746,0.025070993403647667
40918470,0.6842706481314847,0.5465646853541943
40994220,0.24329988026819238,0.24550997728053114
41137061,0.15530003732347517,0.13229151763604957
41153362,0.39677028801490133,0.4375435183812463
41198839,0.9524287033481338,0.8120169451473178
41216727,0.19174118124909414,0.19070844305272142
41252049,0.5769661555764085,0.5845421670059765
41337795,0.23399920024371482,0.2267045076235925
41357226,0.5387901600478344,0.6426747137858708
41388608,0.31807555612741645,0.3701842041319259
41505248,0.054808036032277345,0.039633909283851416
41507856,0.943655767006705,0.7393621534230632
41533176,0.005874557733398674,0.01897415618239059
41582171,0.6893188226855991,0.7583353335119004
41584451,0.0002382675392313883,0.00017176255422943662
41668898,0.7080096272140401,0.840321364437777
41685329,0.0031637687936815918,0.0035963004084302356
41715136,0.13240185069550475,0.1463931838198801
41727459,0.0050996734799657875,0.009781000980394033
41809788,0.024575210905680475,0.02671576733069051
41836241,0.30134089794074825,0.27401928061698533
41836296,0.02387147613324762,0.024089717455917127
41862905,4.843095955439352e-06,6.081000946174562e-06
41870815,0.00043662209275393654,0.0006226622730683935
41971137,0.7969174725895388,0.9674983555916495
41981124,0.6656955253686327,0.6844985671754056
41992284,0.30587406761509156,0.5187102734560219
42030617,0.013836561663008227,0.026671460099284342
42052292,0.8864994960997257,0.8943945143232629
42059994,0.012028981723506716,0.010784836194041587
42159275,0.3466339426179651,0.5342102450299374
42164400,0.0002807932246712969,0.0004860563053240261
42215586,0.2103646004513839,0.2860376117231934
42220482,9.792798053215968e-05,7.52552289102692e-05
42244509,0.7400734447492999,0.6779598569052393
42251607,0.9073090248242257,0.9510938776296995
42279297,0.032507931581297285,0.0593977812134319
42319469,0.02698413884375638,0.03657361077611387
42371282,0.010128132478066406,0.019101620791827617
42421957,0.9140781224916849,0.9948166954957568
42436233,0.1774968123013521,0.16090338629867573
42436798,0.839540793054806,0.878585749185927
42482080,0.194918191891261,0.18516695153467386
42493447,0.4499969068452909,0.5894091137462245
42500328,0.029100450364034802,0.025677995139660355
42555166,0.2639880142794051,0.24287372668946822
42576531,0.7310293926812428,0.9695502375903202
