group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
class,microenvironment_correlated,HALLMARK_INFLAMMATORY_RESPONSE,584,195,27,4.504905103872788,1.567104491288128e-09,2.1286502673330406e-08
class,microenvironment_correlated,HALLMARK_KRAS_SIGNALING_UP,584,192,26,4.3830159347065685,5.089806450186377e-09,6.637107611043035e-08
class,microenvironment_correlated,HALLMARK_HYPOXIA,584,186,25,4.338937099301103,1.1722342363086733e-08,1.3648155751308123e-07
class,microenvironment_correlated,HALLMARK_COAGULATION,584,133,19,4.621533923303835,2.5463619571180877e-07,2.5154969636984744e-06
class,microenvironment_correlated,HALLMARK_ANGIOGENESIS,584,36,10,10.556821227552934,3.4087578343937226e-07,3.175014440035296e-06
class,microenvironment_correlated,HALLMARK_MYOGENESIS,584,192,22,3.5947456562696254,1.4465177699903708e-06,1.2091404949150279e-05
class,microenvironment_correlated,HALLMARK_APICAL_JUNCTION,584,183,20,3.397728756037071,8.878434133444885e-06,6.578112562506893e-05
class,microenvironment_correlated,HALLMARK_INTERFERON_ALPHA_RESPONSE,584,89,13,4.704696285371924,1.5548694518660238e-05,0.00011251377828664954
class,microenvironment_correlated,HALLMARK_MTORC1_SIGNALING,584,186,19,3.1441471040220446,3.832863136103639e-05,0.0002577350434463766
class,microenvironment_correlated,HALLMARK_GLYCOLYSIS,584,188,19,3.106540294287061,4.442246813550768e-05,0.0002856476821143119
class,microenvironment_correlated,HALLMARK_IL2_STAT5_SIGNALING,584,189,18,2.903105821089827,0.00015016560556848878,0.0008900724984604972
class,microenvironment_correlated,HALLMARK_UV_RESPONSE_UP,584,144,15,3.1985940246045694,0.000197825800738195,0.0011516287685830638
class,microenvironment_correlated,HALLMARK_TGF_BETA_SIGNALING,584,53,8,4.85679012345679,0.000538513209313888,0.0029755136650224993
class,microenvironment_correlated,HALLMARK_P53_PATHWAY,584,181,14,2.2964176909339216,0.005499225535299795,0.02084590144776434
class,microenvironment_correlated,HALLMARK_CHOLESTEROL_HOMEOSTASIS,584,68,7,3.1264028184220245,0.01050354937657247,0.03230336883738326
class,microenvironment_correlated,HALLMARK_ESTROGEN_RESPONSE_LATE,584,185,13,2.066112084063047,0.015521395646075634,0.043591564279398115
class,microenvironment_correlated,HALLMARK_NOTCH_SIGNALING,584,32,4,3.880049261083744,0.026155353894188306,0.06359425561514503
class,microenvironment_correlated,HALLMARK_KRAS_SIGNALING_DN,584,184,12,1.9038461538461537,0.03254864561728234,0.07525431539882299
class,microenvironment_correlated,HALLMARK_G2M_CHECKPOINT,584,178,11,1.79488144130587,0.05453043742078437,0.10796351852588833
class,microenvironment_correlated,HALLMARK_ADIPOGENESIS,584,182,11,1.7524468530255248,0.061953242729388916,0.11742300656849296
class,microenvironment_correlated,HALLMARK_APICAL_SURFACE,584,43,4,2.783731211317418,0.0663151933360391,0.1207751565784846
class,microenvironment_correlated,HALLMARK_HEDGEHOG_SIGNALING,584,35,3,2.5412543029259895,0.12800917643291268,0.20356581227868065
class,microenvironment_correlated,HALLMARK_MITOTIC_SPINDLE,584,189,10,1.5185019368150585,0.13946933717861643,0.2196473619334732
class,microenvironment_correlated,HALLMARK_XENOBIOTIC_METABOLISM,584,192,10,1.4931845158325994,0.1497221591650378,0.23347032128897394
class,microenvironment_correlated,HALLMARK_PI3K_AKT_MTOR_SIGNALING,584,102,6,1.6960423875432526,0.1573191540611639,0.24077955034713347
class,microenvironment_correlated,HALLMARK_SPERMATOGENESIS,584,127,7,1.5832900057770074,0.16883104925567735,0.2529768716227526
class,microenvironment_correlated,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,584,41,3,2.139188332276474,0.17930004648406989,0.2586363502380831
class,microenvironment_correlated,HALLMARK_ESTROGEN_RESPONSE_EARLY,584,182,9,1.4121337019351596,0.2034974018145464,0.2775626813976528
class,microenvironment_correlated,HALLMARK_ANDROGEN_RESPONSE,584,91,5,1.575993091537133,0.22497231100253742,0.2981340381578342
class,microenvironment_correlated,HALLMARK_PROTEIN_SECRETION,584,93,5,1.5399788035798399,0.2381536004650715,0.3117994929783667
class,microenvironment_correlated,HALLMARK_MYC_TARGETS_V2,584,53,3,1.6245438898450946,0.29331231528441415,0.3635734402384753
class,microenvironment_correlated,HALLMARK_FATTY_ACID_METABOLISM,584,145,6,1.1681561325334195,0.41527065559762777,0.4813155622318763
