pmid,max_micro_abs_rho,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,raw_gene_count,tcga_mapped_count,normal_looking_minus_primary,mannwhitney_pvalue,class_0.3,class_0.4,class_0.5
34266411,0.9570776890545049,True,0.3856083506233709,0.4455826160481639,5,5,0.314112126385901,0.0005839781631256,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41981124,0.9551938565667022,True,0.4172523403213918,0.8081281036341512,15,14,0.95761673273671,6.808827983610515e-16,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39739621,0.9404336236508988,True,0.4455826160481639,0.4611216787954775,7,7,0.7267108815392844,1.5103972971550996e-07,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37594617,0.9392047088722006,True,0.1222136609693145,0.1222136609693145,4,4,0.9208002732126062,1.5385190591276282e-11,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40319103,0.9323600558460304,True,0.1036149157096754,0.005229198057103,12,11,0.5071020103933175,2.8978433060419594e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42159275,0.9186006185727816,True,0.2322607252380276,0.545880224595218,10,10,0.3047773494840289,7.077671557750113e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34849009,0.918080260327092,True,0.3390219587952395,0.4053790219028026,7,7,0.3664945325906069,9.105573862988552e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
32096345,0.9174521620299396,True,0.376881184255396,0.4544408935971472,9,9,0.4686348900393264,2.9876993341366085e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34706720,0.915144459525654,True,0.3870949745486013,0.6459257187488843,3,3,0.4583233782388169,5.240384108954587e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
29147616,0.9094303834343582,True,0.4934653416507845,0.2858738917631054,3,3,0.5078733593108051,3.491062301327938e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39033098,0.9068218102856452,True,0.2094779741864936,0.2067743689467433,10,10,0.3186251400243425,9.832281842665244e-06,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41533176,0.9057810937942656,True,0.0598900642036395,0.0385216900550732,6,6,0.920456924414656,2.609684362983775e-15,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
35593896,0.8935401901218866,True,0.3156893229226542,0.2731454903404036,7,7,0.4809610213320729,2.275640571166951e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37588995,0.8836216317361808,True,0.6179942002969125,0.9251908389167466,3,2,0.7038774671099463,2.0683591539294e-08,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
41992284,0.8733741502176842,True,0.9251908389167466,0.499386232840965,6,6,0.255837779229497,0.0002462945655356,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42555166,0.8713600740339077,True,0.6923480878529641,0.4599376051499331,10,10,0.4853450980038946,1.3444951618290978e-12,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
37745978,0.8707156374743019,True,0.4111298392124881,0.9574327827948697,7,7,0.7290421692617053,2.7251877919419656e-13,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
42482080,0.8690366498053743,False,0.3430208353488336,0.3927824630636189,3,3,-0.0813553802700383,0.9669733380530168,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
32695477,0.8590735465343,True,0.0938133918174591,0.1130070500477289,6,5,0.7985572434408001,2.8978433060419594e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
34530089,0.8521196121111533,True,0.7401835515634346,0.9881252665510774,6,5,0.3133328270003785,3.63056748729632e-05,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
40589607,0.8478317430244097,True,0.2094779741864936,0.7286906182135403,8,8,0.7422332072127604,2.057907372766895e-12,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39033778,0.8452654027427936,True,0.0093409331807323,0.000325392084951,9,9,0.3052506637250206,0.0003919915731983,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
38714517,0.8440557547830263,True,0.1523665337140296,0.0874416006226314,3,3,0.8655362320941131,6.317243222034555e-14,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
32763782,0.8431334136271589,True,0.1064367138451233,0.0713448908935941,10,10,0.3781744400554514,1.3775085731835884e-09,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
31894276,0.8353590209866523,True,0.4551552898553719,0.9733988117985964,6,6,0.2745854063148572,0.000725388239631,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
33937319,0.8348496062941152,True,0.9928018793158648,0.9137520205736572,15,15,0.5008995833739673,2.9876993341366085e-10,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
39708127,0.8306067444963947,True,0.8769078982376741,0.4994558340348029,5,5,0.349888703597729,0.002281350993436,microenvironment_correlated,microenvironment_correlated,microenvironment_correlated
