pmid,model,n,events,coef,hr,pvalue,qvalue_global
34512654,m0_score,402,107,0.5666301426542834,1.7623182726187625,0.049888658635067674,0.1656055058425483
34512654,m1_clinical,402,107,0.5197677326976313,1.6816370150417663,0.08919658101951651,0.23865305958399063
34512654,m2_purity,402,107,0.4767670175668047,1.610858098692135,0.13628540907379447,0.3206715507618693
34512654,m3_microenvironment,402,107,0.6007707747081878,1.8235237848708572,0.055608776476468856,0.17653579833799637
34512722,m0_score,402,107,0.15705338013810108,1.1700580700953065,0.4209475596409573,0.6121684589309756
34512722,m1_clinical,402,107,-0.0106397420162333,0.9894166598279294,0.9565199276857564,0.9760407425364862
34512722,m2_purity,402,107,-0.1953585724413854,0.8225396651151529,0.4179243922710094,0.6100840875145762
34512722,m3_microenvironment,402,107,0.18544892502576898,1.2037587162596,0.5512377064505725,0.7238132613925774
34521394,m0_score,402,107,-0.09942172468681285,0.9053608144962983,0.5132030201210096,0.6923480878529641
34521394,m1_clinical,402,107,-0.014292501183089987,0.9858091517441555,0.9261838503700335,0.9610208564150802
34521394,m2_purity,402,107,-0.023934419301308088,0.9763497373563426,0.876256431185154,0.9397903832620385
34521394,m3_microenvironment,402,107,-0.079132359552612,0.9239176270278859,0.5986010456460464,0.7473771976872164
34530089,m0_score,402,107,-0.07229650863420248,0.9302550262670776,0.5847450057351133,0.7401835515634346
34530089,m1_clinical,402,107,-0.07022491760390222,0.9321841317042496,0.6185223157657179,0.7659719080690005
34530089,m2_purity,402,107,-0.548176216097067,0.5780030022627335,0.018534744690180873,0.08773843640322307
34530089,m3_microenvironment,402,107,0.011750713024132109,1.0118200238703219,0.9733864077774996,0.9881252665510774
34644219,m0_score,402,107,-0.6206541338806898,0.5375926649778521,7.508313826295735e-06,0.0002730295936834813
34644219,m1_clinical,402,107,-0.6330647926454513,0.5309620163239062,3.879986248840146e-05,0.0010012867738942311
34644219,m2_purity,402,107,-0.6910663749007272,0.5010414860188287,6.312461367565811e-06,0.0002524984547026324
34644219,m3_microenvironment,402,107,-0.5746825105289558,0.5628835500413116,0.0012188845689329142,0.011977394418007305
34706720,m0_score,402,107,-0.1331193116661231,0.8753606451409938,0.18967653752881464,0.3870949745486013
34706720,m1_clinical,402,107,-0.12031082070726679,0.8866448063177647,0.27275704551389435,0.46625135985281085
34706720,m2_purity,402,107,-0.5274601280311646,0.5901018510804232,0.0016392072798236716,0.015073170389183186
34706720,m3_microenvironment,402,107,-0.23462284564731056,0.7908690731003876,0.46183993121799527,0.6459257187488843
34803395,m0_score,402,107,-0.41896627742432513,0.6577263751212923,0.0027723331858311483,0.022178665486649186
34803395,m1_clinical,402,107,-0.3444009816303087,0.7086447175575697,0.018311068526628026,0.08771769354073305
34803395,m2_purity,402,107,-0.6859407600206484,0.5036162246374484,0.00016054396814091943,0.002986864523551989
34803395,m3_microenvironment,402,107,-0.5219437722549396,0.5933660578205152,0.03141125947817849,0.117637253399464
34849009,m0_score,402,107,-0.15820193118959083,0.8536773804734823,0.14874588442141132,0.3390219587952395
34849009,m1_clinical,402,107,-0.13190869934248403,0.8764210092410495,0.2628057170240705,0.4590492873782891
34849009,m2_purity,402,107,-0.6369299041299914,0.5289137498757793,0.0008012585258025808,0.008546757608560862
34849009,m3_microenvironment,402,107,-0.4489484583646652,0.6382989968200786,0.20522312983829383,0.4053790219028026
34901008,m0_score,402,107,0.22270211835594098,1.249448330573656,0.21942747018948397,0.4154800509528186
34901008,m1_clinical,402,107,0.1998361409918752,1.2212026367119955,0.2907061793370927,0.4865375386394857
34901008,m2_purity,402,107,0.13686489544776928,1.1466732172831002,0.530088581797085,0.7056087611275673
34901008,m3_microenvironment,402,107,0.34199551855814475,1.4077539887323194,0.13297612033853096,0.3156893229226542
35023971,m0_score,402,107,-0.4536392174398982,0.6353119013577483,0.015292512800158557,0.07598764124302389
35023971,m1_clinical,402,107,-0.2950757627282396,0.7444751818583307,0.11220550251701888,0.2858738917631054
35023971,m2_purity,402,107,-0.4841281048237562,0.6162342542750746,0.01957036296204142,0.09049878826377535
35023971,m3_microenvironment,402,107,-0.3008872799252554,0.7401611990703909,0.16747510820412015,0.3670687303104003
35027921,m0_score,402,107,0.5275033413947771,1.694695945227649,0.03837510499360145,0.13475764887658684
35027921,m1_clinical,402,107,0.3003932983664663,1.3503898092541844,0.25483804130644355,0.44806688581352716
35027921,m2_purity,402,107,0.27997637986409785,1.3230985602005447,0.29534379643139047,0.4891822715219718
35027921,m3_microenvironment,402,107,0.3456028543660151,1.4128414005892076,0.19639965742224927,0.3929103497068387
35125116,m0_score,402,107,1.0258650163589589,2.7895073867606337,0.000388495728257268,0.005549938975103828
35125116,m1_clinical,402,107,0.9199603077376524,2.509190792500471,0.0016607761376530661,0.015097964887755147
35125116,m2_purity,402,107,0.9754869086010539,2.6524584014208217,0.0028668170268816386,0.022671822366008596
35125116,m3_microenvironment,402,107,1.140135612204053,3.1271924218887035,0.0010209721088339464,0.01033895806414123
35127296,m0_score,402,107,0.6700786338937028,1.9543909959676462,0.009185892217303815,0.05325154908581922
35127296,m1_clinical,402,107,0.3660565091190959,1.4420367285773814,0.1685506277838975,0.36841667275168855
35127296,m2_purity,402,107,0.30599847323725743,1.3579802332326845,0.277251560717623,0.4719175501576562
35127296,m3_microenvironment,402,107,0.7453356966399941,2.1071486789958724,0.01844302671451393,0.08773843640322307
35169299,m0_score,402,107,-0.871579111950122,0.4182904999225101,0.00015018733674182367,0.002930484619352657
35169299,m1_clinical,402,107,-0.7180236343421978,0.48771520766140264,0.0024664517337163864,0.020553764447636555
35169299,m2_purity,402,107,-0.8822883419608636,0.41383483171943014,0.0013164425716809295,0.012390047733467573
35169299,m3_microenvironment,402,107,-0.7734173431640667,0.461433494277843,0.006898267039194485,0.043013729469255274
35205125,m0_score,402,107,0.1886761716934596,1.2076498179606607,0.1819407335229536,0.3807717017003158
35205125,m1_clinical,402,107,0.17897761645841678,1.1959939732874367,0.23640904187252626,0.43278543134558584
35205125,m2_purity,402,107,0.17630231922162373,1.192798610094465,0.41433167166744556,0.6070793724065137
35205125,m3_microenvironment,402,107,0.5790686376179917,1.7843757561393332,0.014171828668165598,0.0731920495742894
35265613,m0_score,402,107,-0.7986810829636708,0.4499219827281213,0.009164568900398162,0.05325154908581922
35265613,m1_clinical,402,107,-0.627073253389715,0.5341528455317401,0.0487854097389463,0.16261803246315434
35265613,m2_purity,402,107,-0.6958357248223093,0.4986575333180082,0.03699738836017815,0.13096420658470143
35265613,m3_microenvironment,402,107,-0.1987932552198863,0.8197193485117982,0.5965862190313216,0.7473771976872164
35281080,m0_score,402,107,-0.3398579969947862,0.7118714034641759,0.26481699875994325,0.4599376051499331
35281080,m1_clinical,402,107,-0.3883752749870803,0.6781577998456269,0.21091769460477416,0.4111298392124881
35281080,m2_purity,402,107,-0.5254879689506722,0.5912667741336636,0.1329952210853153,0.3156893229226542
35281080,m3_microenvironment,402,107,-0.4283620172939965,0.651575490501065,0.28573422332940285,0.4832714136649519
35299749,m0_score,402,107,-1.2858101347268933,0.27642655014786366,5.020481056459754e-08,2.0081924225839015e-05
35299749,m1_clinical,402,107,-1.1682754471381567,0.31090264725614614,6.989717843587598e-07,6.867803009000678e-05
35299749,m2_purity,402,107,-1.2150923281784567,0.2966826208635079,4.600963494573532e-07,5.703660417224975e-05
35299749,m3_microenvironment,402,107,-1.1000729134005454,0.33284681382023434,3.905299147259044e-06,0.00021863959529183413
35300137,m0_score,402,107,0.32938288533695376,1.3901100064429495,0.11219673147907898,0.2858738917631054
35300137,m1_clinical,402,107,0.1734767023975663,1.1894329755102218,0.41549709748167807,0.6076739999732038
35300137,m2_purity,402,107,0.07082573325482877,1.0733941526632411,0.7738870984126152,0.8904979210422149
35300137,m3_microenvironment,402,107,0.15270537856315938,1.1649816997942366,0.5891459865442428,0.743401875765606
35309900,m0_score,402,107,0.11943854042829877,1.1268639853610165,0.5344427774637446,0.7102229600847104
35309900,m1_clinical,402,107,0.11299347096320181,1.1196246228543594,0.5794283286641441,0.7357616590134249
35309900,m2_purity,402,107,-0.007090333353021727,0.9929347437571471,0.9768016320116162,0.9884063010151319
35309900,m3_microenvironment,402,107,0.21532829015698127,1.2402689982428667,0.3931168387350611,0.5933839075246206
35480865,m0_score,402,107,0.15046502862146058,1.1623746545482878,0.5714897357044184,0.7313850118385653
35480865,m1_clinical,402,107,0.050534387524655715,1.0518330326674576,0.8455237183938222,0.9304249996080576
35480865,m2_purity,402,107,0.07501365452346626,1.0778988689795477,0.7755099103275617,0.8904979210422149
35480865,m3_microenvironment,402,107,0.08495253486350578,1.0886653918206115,0.7330538887613788,0.8598872595441392
35593896,m0_score,402,107,0.24753601642450182,1.2808654937483261,0.13256891525855033,0.3156893229226542
35593896,m1_clinical,402,107,0.1387975526442149,1.1488914864148878,0.4136465559410871,0.6070793724065137
35593896,m2_purity,402,107,0.031886022217415586,1.0323998279558133,0.8842065310362363,0.9469413987001192
35593896,m3_microenvironment,402,107,0.6760989497911912,1.966192536005367,0.1051610137810554,0.27314549034040364
35626146,m0_score,402,107,0.11718835630576283,1.1243311846156112,0.7503424926591925,0.875034976862032
35626146,m1_clinical,402,107,0.317687098304351,1.3739462838387986,0.4034406028421217,0.6032756678013035
35626146,m2_purity,402,107,0.24597716654901033,1.2788703721843901,0.529961688756923,0.7056087611275673
35626146,m3_microenvironment,402,107,0.15842183137527613,1.1716603335685702,0.6870723097752023,0.8228410895511405
35646934,m0_score,402,107,-0.34106675228818906,0.7110114449814068,0.014370151646440475,0.0731920495742894
35646934,m1_clinical,402,107,-0.24234585679124093,0.784784707488906,0.10414532253685678,0.27138846263676036
35646934,m2_purity,402,107,-0.4645884112657413,0.6283936917345332,0.0068512147644053875,0.043013729469255274
35646934,m3_microenvironment,402,107,-0.16518467771569303,0.8477371314736757,0.4916849703097097,0.6712422802862931
35669725,m0_score,402,107,0.12630282649959587,1.1346257109958935,0.5682518018440765,0.7305864110552117
35669725,m1_clinical,402,107,-0.07255264223339092,0.9300167872108526,0.762223721317375,0.8811834928524567
35669725,m2_purity,402,107,-0.3265686354556083,0.7213948600844956,0.2904843709539282,0.4865375386394857
35669725,m3_microenvironment,402,107,-0.058182829186770445,0.9434774364548145,0.8576956874309214,0.9318493505347579
35730624,m0_score,402,107,0.40855571618524905,1.5046430833953102,0.03496726729720854,0.12544311138012032
35730624,m1_clinical,402,107,0.3396195963882759,1.4044132450657825,0.06719381391411698,0.20439182939655356
35730624,m2_purity,402,107,0.3673897782557262,1.4439606338982784,0.06821605860664384,0.20516107851622206
