pmid,covariate,n,spearman_rho,pvalue
34422642,tumor_epithelial_fraction,427,-0.2259017564865214,2.411923300476803e-06
34422642,normal_urothelial_fraction,427,0.08406667984003299,0.0827173520087428
34422642,immune_score,427,0.19009229268671626,7.729153058171866e-05
34422642,stromal_score,427,0.10668438391957381,0.02749931773954918
34426176,tumor_epithelial_fraction,427,-0.42682492996896654,2.4695014111982277e-20
34426176,normal_urothelial_fraction,427,-0.5268130924354153,7.280754120200701e-32
34426176,immune_score,427,0.967938626087766,3.98318649363812e-257
34426176,stromal_score,427,0.48967221438019876,3.9278333162196605e-27
34490263,tumor_epithelial_fraction,427,-0.25916245134357546,5.550024116043111e-08
34490263,normal_urothelial_fraction,427,-0.5013489855942765,1.474087615590533e-28
34490263,immune_score,427,0.37761315865161865,6.4107803908699e-16
34490263,stromal_score,427,0.6328662953668077,3.6461217406760864e-49
34512654,tumor_epithelial_fraction,427,-0.22255503297092188,3.4212731164348448e-06
34512654,normal_urothelial_fraction,427,-0.09928931641018163,0.04028955480898385
34512654,immune_score,427,0.2876793471107016,1.398466233413321e-09
34512654,stromal_score,427,0.20743088837914878,1.5541658309313663e-05
34512722,tumor_epithelial_fraction,427,-0.607828678829527,1.7440361553186037e-44
34512722,normal_urothelial_fraction,427,-0.23373364131471838,1.0421094235773492e-06
34512722,immune_score,427,0.5088020076950134,1.6961112544509192e-29
34512722,stromal_score,427,0.7321183112155389,7.205369536591036e-73
34521394,tumor_epithelial_fraction,427,-0.025333709010613395,0.6016393761528643
34521394,normal_urothelial_fraction,427,-0.1725026118099743,0.0003422532815209807
34521394,immune_score,427,0.009588093907400275,0.8433956535975978
34521394,stromal_score,427,0.0389912633453548,0.4215942641120112
34530089,tumor_epithelial_fraction,427,-0.27026460894985355,1.3925106791167438e-08
34530089,normal_urothelial_fraction,427,-0.6845701141119738,2.492939346166586e-60
34530089,immune_score,427,0.8521196121111533,1.3876317073906615e-121
34530089,stromal_score,427,0.5739142993397801,8.978006374911708e-39
34644219,tumor_epithelial_fraction,427,0.14764024625769015,0.002223217206839992
34644219,normal_urothelial_fraction,427,-0.09153372818495159,0.058774612112158925
34644219,immune_score,427,0.31286801550840204,3.7689833782869266e-11
34644219,stromal_score,427,-0.0705785193773334,0.14539981211893124
34706720,tumor_epithelial_fraction,427,-0.2871330942603684,1.506685209399046e-09
34706720,normal_urothelial_fraction,427,-0.6506500316438234,9.27592136910726e-53
34706720,immune_score,427,0.915144459525654,8.673084850350726e-170
34706720,stromal_score,427,0.4879123060717608,6.3724660543061215e-27
34803395,tumor_epithelial_fraction,427,0.2857377141661058,1.8213631797769035e-09
34803395,normal_urothelial_fraction,427,-0.506321212089451,3.504285601249878e-29
34803395,immune_score,427,0.5504795280030111,3.370826101292673e-35
34803395,stromal_score,427,0.09186820016159467,0.057852943673057246
34849009,tumor_epithelial_fraction,427,-0.3122403796149041,4.1417769330194424e-11
34849009,normal_urothelial_fraction,427,-0.6590870487210069,1.5002929621444666e-54
34849009,immune_score,427,0.918080260327092,6.740307355042313e-173
34849009,stromal_score,427,0.47350750743159736,3.0159637093458613e-25
34901008,tumor_epithelial_fraction,427,-0.11661511893484393,0.015913237665589042
34901008,normal_urothelial_fraction,427,-0.5248600535340124,1.335863013711778e-31
