pmid,model,coef,hr,pvalue,qvalue_global
33456631,m1_clinical,0.0955540871484195,1.1002683308011003,0.6367656085630293,0.8032317179515381
33456631,m1_plus_tumor,0.04394180238875855,1.0449215411812232,0.8451081147982891,0.9311514058664638
33456631,m1_plus_normal,0.041539677690326196,1.0424145216315186,0.8456399136473551,0.9311514058664638
33456631,m1_plus_both,-0.015371515772331692,0.9847460229560995,0.9478470929888828,0.969664545257169
33459039,m1_clinical,0.18154851268514532,1.1990727055353694,0.3820352153824522,0.6016302604448066
33459039,m1_plus_tumor,0.16445418362691167,1.1787495622846846,0.43450230001134615,0.6502413024058659
33459039,m1_plus_normal,0.09127584483871261,1.0955711712341143,0.7425708308262429,0.8893063842230454
33459039,m1_plus_both,0.07235015048740498,1.0750317010432746,0.7954632099654226,0.9182836478677318
33535616,m1_clinical,-0.06274174835239982,0.9391859887018198,0.6504286283214245,0.8143081418734579
33535616,m1_plus_tumor,-0.0481297370186974,0.9530101383626308,0.7319360054492006,0.8778842644068373
33535616,m1_plus_normal,-0.08094881103474735,0.922240898793673,0.5567774182446028,0.7461003929575918
33535616,m1_plus_both,-0.06810752175663529,0.9341600256502052,0.6273846063549087,0.7989548177611926
33545950,m1_clinical,0.25028694920674155,1.284393919630781,0.2112374518326683,0.43629573556966533
33545950,m1_plus_tumor,0.25368853887021026,1.2887703398846746,0.20734757954467617,0.4349852702032053
33545950,m1_plus_normal,0.2101950845174006,1.233918754922865,0.3268463182511903,0.5485384940725566
33545950,m1_plus_both,0.218417325573007,1.244106156611662,0.3090891689723759,0.5294889404237704
33837006,m1_clinical,-0.2623884583172699,0.769212158802223,0.1938211602874242,0.41647306469940326
33837006,m1_plus_tumor,-0.3195375722021631,0.7264849062254373,0.12520416266308323,0.32502351980774974
33837006,m1_plus_normal,-0.4635601040600437,0.629040205846349,0.042975871649341094,0.16757863345293642
33837006,m1_plus_both,-0.5357481712273052,0.5852312731094946,0.023688080391459594,0.11147331948922162
33925460,m1_clinical,-1.0306476562711768,0.3567758176309473,0.0005802356793444263,0.009101736146579236
33925460,m1_plus_tumor,-1.0706729283817442,0.34277777489745864,0.00041366715649169015,0.006753749493741881
33925460,m1_plus_normal,-1.0229491414764638,0.3595330612640129,0.0009782502760010744,0.012844147585698568
33925460,m1_plus_both,-1.0697419549916813,0.3430970404754126,0.0006500512724442627,0.009812094678403965
33937319,m1_clinical,-0.0330476911318032,0.9674924176803507,0.8324990159338667,0.9311514058664638
33937319,m1_plus_tumor,-0.13720227961126685,0.8717938621717491,0.4712228985768463,0.678018559103376
33937319,m1_plus_normal,-0.26839618698056894,0.7646047946222678,0.21915020831135085,0.44272769355828456
33937319,m1_plus_both,-0.6888133933157435,0.502171595840421,0.020204714351269727,0.10295395847780753
33962639,m1_clinical,-0.2487922558986583,0.779741943349265,0.36060262964821976,0.5746655452561271
33962639,m1_plus_tumor,-0.22255982024294335,0.8004671211803226,0.42243747711953117,0.6376414748974055
33962639,m1_plus_normal,-0.27578826877388957,0.7589736121634948,0.3109286231085514,0.5303686534900663
33962639,m1_plus_both,-0.25344569465540356,0.7761218913474969,0.36308155656529906,0.5762417423010731
33985530,m1_clinical,-0.10999180185263294,0.8958414795068903,0.5235424203289742,0.7233746740296708
33985530,m1_plus_tumor,-0.1708325172025937,0.8429627434078972,0.3538314947072907,0.5730064691616044
33985530,m1_plus_normal,-0.1472958600594101,0.863038600988578,0.40081796040841944,0.6231110140388644
33985530,m1_plus_both,-0.20979034854150128,0.810754203954938,0.26503904496764885,0.4863101742525667
34095228,m1_clinical,-0.029859904124121345,0.9705814984893646,0.8743466443657553,0.94058854865109
34095228,m1_plus_tumor,-0.03221257251478338,0.9683007260798997,0.8648445920634167,0.9370830476091454
34095228,m1_plus_normal,0.0387815903553163,1.0395434125464333,0.8484333962153956,0.9311514058664638
