group_family,group,pathway,group_unique_genes,pathway_genes,overlap,odds_ratio,pvalue,qvalue
survival,lost_fdr,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,72,189,4,5.121780604133545,0.009629028689474049,0.03170771063402565
survival,lost_fdr,HALLMARK_GLYCOLYSIS,72,188,4,5.149936061381074,0.009456099297567142,0.03170771063402565
survival,lost_fdr,HALLMARK_HEME_METABOLISM,72,186,4,5.207175177763413,0.009116354658276789,0.03170771063402565
survival,lost_fdr,HALLMARK_INTERFERON_GAMMA_RESPONSE,72,188,4,5.149936061381074,0.009456099297567142,0.03170771063402565
survival,lost_fdr,HALLMARK_PI3K_AKT_MTOR_SIGNALING,72,102,3,7.111989459815547,0.0102735271248788,0.03220355617990855
survival,lost_fdr,HALLMARK_XENOBIOTIC_METABOLISM,72,192,4,5.039111389236545,0.010160156768206864,0.03220355617990855
survival,lost_fdr,HALLMARK_BILE_ACID_METABOLISM,72,110,3,6.57700121901666,0.012595922427405239,0.03732973373940098
survival,lost_fdr,HALLMARK_UV_RESPONSE_UP,72,144,3,4.980573543015726,0.025598220534113907,0.0627445104821138
survival,lost_fdr,HALLMARK_E2F_TARGETS,72,181,3,3.936248168050806,0.045558602669642165,0.0990140298020223
survival,lost_fdr,HALLMARK_APICAL_JUNCTION,72,183,3,3.8920289855072463,0.04680632374173802,0.09973112117520651
survival,lost_fdr,HALLMARK_ESTROGEN_RESPONSE_LATE,72,185,3,3.848781653129479,0.04807091744666132,0.10110399411362316
survival,lost_fdr,HALLMARK_COMPLEMENT,72,191,3,3.724560592044403,0.051965128403739305,0.10652162334560618
survival,lost_fdr,HALLMARK_INFLAMMATORY_RESPONSE,72,195,3,3.646059782608696,0.05464411213733611,0.10796351852588833
survival,lost_fdr,HALLMARK_INTERFERON_ALPHA_RESPONSE,72,89,2,5.322167487684729,0.05850612577271255,0.111537994163183
survival,lost_fdr,HALLMARK_PROTEIN_SECRETION,72,93,2,5.086970172684459,0.06320920373337167,0.1184264391786159
survival,lost_fdr,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,72,95,2,4.976958525345622,0.06560756906756864,0.12015768267431111
survival,lost_fdr,HALLMARK_APOPTOSIS,72,157,2,2.9747465437788017,0.15182732550080513,0.23347032128897394
