pmid,n_patients,n_high,modal_consensus_high,modal_consensus_all,ba_sq_high_rate,ba_sq_low_rate,classification_v6_standard
41153362,402,201,Ba/Sq,Ba/Sq,0.5920398009950248,0.16417910447761194,microenvironment_correlated_standard
41198839,402,201,Ba/Sq,Ba/Sq,0.3333333333333333,0.4228855721393035,microenvironment_correlated_standard
41216727,402,201,LumP,Ba/Sq,0.27860696517412936,0.47761194029850745,unclassified_standard
41252049,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,unclassified_standard
41337795,402,201,Ba/Sq,Ba/Sq,0.5124378109452736,0.24378109452736318,microenvironment_correlated_standard
41357226,402,201,Ba/Sq,Ba/Sq,0.4129353233830846,0.34328358208955223,unclassified_standard
41388608,402,201,Ba/Sq,Ba/Sq,0.5771144278606966,0.1791044776119403,unclassified_standard
41505248,402,201,Ba/Sq,Ba/Sq,0.5920398009950248,0.16417910447761194,microenvironment_associated_attenuation_standard
41507856,402,201,LumP,Ba/Sq,0.263681592039801,0.4925373134328358,unclassified_standard
41533176,402,201,Ba/Sq,Ba/Sq,0.4975124378109453,0.25870646766169153,microenvironment_correlated_standard
41582171,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,microenvironment_correlated_standard
41584451,402,201,LumP,Ba/Sq,0.15920398009950248,0.5970149253731343,composition_adjustment_persistent_standard
41668898,402,201,Ba/Sq,Ba/Sq,0.46766169154228854,0.2885572139303483,microenvironment_correlated_standard
41685329,402,201,Ba/Sq,Ba/Sq,0.4427860696517413,0.31343283582089554,composition_adjustment_persistent_standard
41715136,402,201,Ba/Sq,Ba/Sq,0.39303482587064675,0.36318407960199006,unclassified_standard
41727459,402,201,Ba/Sq,Ba/Sq,0.6169154228855721,0.13930348258706468,microenvironment_correlated_standard
41809788,402,201,Ba/Sq,Ba/Sq,0.6169154228855721,0.13930348258706468,unclassified_standard
41836241,402,201,Ba/Sq,Ba/Sq,0.417910447761194,0.3383084577114428,unclassified_standard
41836296,402,201,LumP,Ba/Sq,0.12437810945273632,0.6318407960199005,microenvironment_correlated_standard
41862905,402,201,LumP,Ba/Sq,0.13930348258706468,0.6169154228855721,composition_adjustment_persistent_standard
41870815,402,201,Ba/Sq,Ba/Sq,0.5074626865671642,0.24875621890547264,microenvironment_correlated_standard
41971137,402,201,Ba/Sq,Ba/Sq,0.4129353233830846,0.34328358208955223,unclassified_standard
41981124,402,201,Ba/Sq,Ba/Sq,0.4228855721393035,0.3333333333333333,microenvironment_correlated_standard
41992284,402,201,Ba/Sq,Ba/Sq,0.582089552238806,0.17412935323383086,microenvironment_correlated_standard
42030617,402,201,Ba/Sq,Ba/Sq,0.373134328358209,0.38308457711442784,microenvironment_correlated_standard
42052292,402,201,Ba/Sq,Ba/Sq,0.3781094527363184,0.3781094527363184,microenvironment_correlated_standard
42059994,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,microenvironment_associated_attenuation_standard
42159275,402,201,Ba/Sq,Ba/Sq,0.47761194029850745,0.27860696517412936,microenvironment_correlated_standard
42164400,402,201,Ba/Sq,Ba/Sq,0.572139303482587,0.18407960199004975,microenvironment_correlated_standard
42215586,402,201,Ba/Sq,Ba/Sq,0.5223880597014925,0.23383084577114427,unclassified_standard
42220482,402,201,LumP,Ba/Sq,0.27860696517412936,0.47761194029850745,composition_adjustment_persistent_standard
42244509,402,201,Ba/Sq,Ba/Sq,0.42786069651741293,0.3283582089552239,unclassified_standard
42251607,402,201,Ba/Sq,Ba/Sq,0.6467661691542289,0.10945273631840796,microenvironment_correlated_standard
42279297,402,201,Ba/Sq,Ba/Sq,0.3781094527363184,0.3781094527363184,microenvironment_correlated_standard
42319469,402,201,Ba/Sq,Ba/Sq,0.39303482587064675,0.36318407960199006,microenvironment_correlated_standard
42371282,402,201,Ba/Sq,Ba/Sq,0.42786069651741293,0.3283582089552239,microenvironment_correlated_standard
42421957,402,201,Ba/Sq,Ba/Sq,0.5970149253731343,0.15920398009950248,microenvironment_correlated_standard
42436233,402,201,Ba/Sq,Ba/Sq,0.4925373134328358,0.263681592039801,microenvironment_associated_attenuation_standard
42436798,402,201,Ba/Sq,Ba/Sq,0.3880597014925373,0.3681592039800995,unclassified_standard
42482080,402,201,Ba/Sq,Ba/Sq,0.6119402985074627,0.14427860696517414,microenvironment_correlated_standard
42493447,402,201,Ba/Sq,Ba/Sq,0.2935323383084577,0.4626865671641791,microenvironment_correlated_standard
42500328,402,201,LumP,Ba/Sq,0.23880597014925373,0.5174129353233831,unclassified_standard
42555166,402,201,Ba/Sq,Ba/Sq,0.48258706467661694,0.2736318407960199,microenvironment_correlated_standard
42576531,402,201,Ba/Sq,Ba/Sq,0.5074626865671642,0.24875621890547264,microenvironment_correlated_standard
