"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Mast_cell","Fibroblast"
"TCGA-4Z-AA7R-01A-11R-A39I-07",0.698854352840884,0.00635092436759306,7.3586063309812e-07,6.39945394784466e-07,9.60514293003412e-07,0.116512413462861,0.0744987142390384,0.0741889690667945,3.38532711504372e-05,0.0295584364313579
"TCGA-4Z-AA7S-01A-11R-A39I-07",0.812022489449759,4.99171704076514e-06,1.45279198178911e-06,7.56025087328227e-07,1.09731614154811e-06,0.135448070083576,0.0207698240662553,0.0227368054806315,0.000265261683856099,0.00874925138567125
"TCGA-4Z-AA7W-01A-11R-A39I-07",2.46622780689834e-06,0.158042811549746,0.118669431752003,0.621431703099467,0.000130757546806775,0.00516839302389488,1.30734913632273e-06,0.0912346886938627,0.000110370121069559,0.00520807063620783
"TCGA-4Z-AA7Y-01A-11R-A39I-07",0.77725780279851,0.0117891891597025,3.53600200210521e-06,8.54653270863251e-07,8.66581067248603e-07,0.158741682777842,9.27492883817378e-07,0.0274256745185565,4.41498474618341e-05,0.0247353161687038
"TCGA-4Z-AA80-01A-11R-A39I-07",0.774224838796437,0.00141376649407163,1.10106837690772e-06,9.70916868135315e-07,1.72210440202107e-06,0.15137502744475,0.0580928822877077,0.00518238503680956,9.00373279495758e-05,0.00961726852262785
"TCGA-4Z-AA81-01A-11R-A39I-07",0.587804116671846,0.188229562601236,0.0392174314847606,0.006129284538602,1.27911513638461e-06,0.120026818744155,0.0251008779338335,0.0128949666617934,5.39441912680966e-05,0.0205417180573704
"TCGA-4Z-AA82-01A-11R-A39I-07",0.195021168803175,0.113972460895125,0.185996650975377,0.0119938740183462,1.4040282836525e-06,0.250087347985698,2.0022833780994e-05,0.156802243662264,0.000763173215852008,0.0853416535820982
"TCGA-4Z-AA83-01A-11R-A39I-07",0.569855481031919,0.103698953163025,0.0703535312454308,3.4373037459827e-06,1.51249334237122e-06,0.127793523562643,1.87134371205215e-06,0.104123724202945,0.000160954740185974,0.0240070109130505
"TCGA-4Z-AA84-01A-11R-A39I-07",0.385839251288869,0.038429212724288,9.17128295225404e-06,0.00878275380516981,1.41309636227592e-06,0.163093567248835,0.255722281581815,0.0648602677828183,9.14610051697654e-05,0.0831706201837207
"TCGA-4Z-AA86-01A-11R-A39I-07",0.0508333110686851,0.238334516603565,0.202810287381537,0.00343595330924396,1.40482156996123e-06,0.204136130821762,2.38748987066885e-05,0.193663015784754,0.000827320833662819,0.105934184476514
"TCGA-4Z-AA87-01A-11R-A39I-07",0.643632181912972,0.0230762956782864,8.36347871294521e-07,7.39525494996498e-07,2.35228574419284e-06,0.0856366282200754,0.210831688934725,0.0265583611825441,2.55932905315052e-05,0.0102353226217551
"TCGA-4Z-AA89-01A-11R-A39I-07",0.684320285441212,0.00157526647645405,0.1650504639554,7.84488763487218e-07,1.31442198335035e-06,0.146509633831697,5.84498186448606e-06,0.00251356435548499,2.04784983689616e-05,2.36354877218263e-06
"TCGA-5N-A9KI-01A-31R-A42T-07",0.549510204415081,0.098415634480777,1.79865451722526e-06,1.7900664158544e-06,9.68357084584452e-07,0.0625850289781016,1.30468168115085e-06,0.24915430816836,0.000486628804859821,0.0398423333931215
"TCGA-5N-A9KM-01A-11R-A42T-07",0.605835222871056,0.0929570314224257,1.2173545336346e-06,7.55493756652585e-07,1.34528690356937e-06,0.162082892060566,7.4935989129707e-07,0.0210379828867801,0.000168765561222975,0.117914037702864
"TCGA-BL-A0C8-01A-11R-A10U-07",0.72117886619333,0.00999173076670258,9.3041108355618e-07,6.11516291135854e-07,1.07776152811238e-06,0.13132366523789,2.15974530120888e-06,0.07322978929104,4.8292190955641e-05,0.0642228768858779
"TCGA-BL-A13I-01A-11R-A13Y-07",4.87744593139959e-06,0.390146221524277,2.74974897110002e-06,7.90310253342626e-07,2.06356203413153e-06,0.255590885696318,0.132011371123042,0.0975853291632198,0.00521328409896207,0.119442427326991
"TCGA-BL-A13J-01A-11R-A10U-07",0.427934027221361,0.0101784194643519,0.0820948038823586,0.0103168692969762,1.99270210479738e-06,0.319387691794761,1.85347691118327e-06,0.0834285390431619,0.000196585054616448,0.0664592180633969
"TCGA-BL-A3JM-01A-12R-A21D-07",0.210775470593165,0.0450503840769414,1.57613924324413e-06,1.13383651784097e-06,3.29489418236851e-06,0.292631161324008,0.343344455887431,0.0703148696951602,0.000443300262283812,0.0374343532910673
"TCGA-BL-A5ZZ-01A-31R-A30C-07",6.77638446712604e-06,0.147027387749882,2.85456683668252e-06,9.05930332589661e-07,1.80708225063217e-06,0.240253823271485,0.0307730574746375,0.322180895913941,0.000953215529109913,0.258799276097058
"TCGA-BT-A0S7-01A-11R-A10U-07",0.085463642738947,0.0113642158560948,0.358968742289242,5.89075859687326e-06,2.19310296355072e-06,0.105413771319469,0.332623797584078,0.0238164757365619,0.000120222231011983,0.0822210483830346
"TCGA-BT-A0YX-01A-11R-A10U-07",0.166031618926574,0.0650476652011881,0.553002086817995,0.123537490464984,5.59679281792517e-07,0.0529468605271485,1.208860270562e-06,0.0143466850081981,0.000780253789546602,0.0243055707248135
"TCGA-BT-A20J-01A-11R-A14Y-07",0.633645107214883,0.302432009204286,7.25503846232777e-07,9.41023787477108e-07,1.29666049888931e-06,0.0220501979298932,8.84102702323938e-06,0.0159640387013869,5.29433303128555e-05,0.0258438994040833
"TCGA-BT-A20N-01A-11R-A14Y-07",0.661192737277218,0.00234520493406561,0.00271023928870424,1.19054153121087e-06,1.13451520107513e-06,0.23923453022763,0.0600662131628558,0.00992779606439103,2.88793306306492e-05,0.0244920746577728
"TCGA-BT-A20O-01A-21R-A14Y-07",6.71525968714877e-06,0.577464482813246,1.81925788280085e-06,1.1637597331489e-06,1.975010049977e-06,0.156646319852606,0.0873066320149247,0.0421289381021445,0.00318840032037585,0.133253553609349
"TCGA-BT-A20P-01A-11R-A14Y-07",0.757508986682588,0.0107421067268165,0.00261994164228265,8.23366703377187e-07,2.12385622940963e-06,0.155010682559894,9.66362230422238e-06,0.0646004677782249,1.38725689870258e-05,0.00949133119596925
"TCGA-BT-A20Q-01A-11R-A14Y-07",0.529322276085804,0.0897770346762174,3.4763182979625e-06,1.03607617671004e-06,2.84586193721563e-06,0.119459014064599,2.06795691348965e-06,0.168720644072874,0.000507436306462951,0.0922041685807159
"TCGA-BT-A20R-01A-12R-A16R-07",0.415557149880677,0.0852773892200201,8.29553305663659e-07,8.68315954477481e-07,8.59462289402537e-07,0.158314012238394,1.24209558516286e-05,0.196176540416258,0.000576042315482282,0.144083887641768
"TCGA-BT-A20T-01A-11R-A14Y-07",0.561302569268587,0.0650723252885144,0.0518302716348131,0.0122122501491607,1.22526243831845e-06,0.0943713362960451,1.20945171981411e-06,0.155784561343831,0.000122407872467162,0.0593018434324237
"TCGA-BT-A20U-01A-11R-A14Y-07",0.310684973899212,0.0734037429418492,0.343817784714182,1.12179125932224e-06,1.2607639979615e-06,0.116668587986604,0.0524194065521524,0.0417748835689995,0.000152085021510986,0.0610761527602329
"TCGA-BT-A20V-01A-11R-A14Y-07",0.497802418796804,0.0877786900980077,4.81964389252163e-06,1.50463679152302e-06,1.56631790041855e-06,0.212937146923134,0.140246620957734,0.0155661650802887,4.26829512350428e-05,0.0456183845942122
"TCGA-BT-A20W-01A-21R-A14Y-07",0.597917488606961,0.0109938343285427,1.33307166992003e-06,8.19265459723765e-07,2.6520127834205e-06,0.187237154240485,0.118779742672439,0.0517198067854649,0.00120170826649113,0.0321454607497033
"TCGA-BT-A20X-01A-11R-A16R-07",2.35729411160639e-06,0.044114749185671,0.74109393708681,1.73037488526311e-06,1.08249683925448e-06,0.0978020106827627,1.24916140467825e-05,0.0651723464283476,8.53613520781588e-05,0.0517139334844477
"TCGA-BT-A2LA-01A-11R-A18C-07",0.0694193413309541,0.000628691018628087,1.24866817440677e-06,9.36755162044021e-07,3.5207926755771e-06,0.252022613198314,0.612332466283425,0.0248016986559676,6.4041375007733e-06,0.0407830791591989
"TCGA-BT-A2LB-01A-11R-A18C-07",0.526879768219633,0.066701633941257,2.10908146637565e-06,1.19578926858769e-06,2.16351788684801e-06,0.173488369765378,2.69211709174537e-06,0.156465104445068,0.000637458436648376,0.0758195046863034
"TCGA-BT-A2LD-01A-12R-A20F-07",0.485778182773671,0.0679242186127191,1.26068454652813e-06,4.15324935830601e-06,1.19464978111463e-06,0.222638678466939,1.88377045630596e-06,0.134919809999706,0.000137467134423403,0.0885931506583998
"TCGA-BT-A3PH-01A-11R-A220-07",0.860674760208895,0.023231513081191,1.5967608611146e-06,2.83189700555718e-06,7.76017881142321e-07,0.0358035526440897,8.97763533602424e-07,0.0342621045757668,7.04170933858454e-05,0.0459515499573902
"TCGA-BT-A3PJ-01A-21R-A220-07",0.0710620475479034,0.288175053420887,0.205636127568936,0.0505751137399083,1.61924574208589e-06,0.227005253800751,0.0159867519658924,0.048534454799401,2.23158392475263e-05,0.093001262071331
"TCGA-BT-A3PK-01A-21R-A220-07",0.0949292005560153,0.0885036059236233,0.198284512404595,0.214106048241597,1.36018364084604e-06,0.140606772479766,1.80562401269169e-06,0.185287089818591,0.00044994876001751,0.0778296560081416
"TCGA-BT-A42C-01A-11R-A23N-07",0.735961379399532,0.0559950917557841,4.48146908441364e-06,3.03431713973405e-06,1.9159293150983e-06,0.172725900686387,0.000496736383927258,0.0135640453346505,0.000109436157159535,0.0211379785670203
"TCGA-BT-A42E-01A-11R-A23W-07",0.0244963351782028,0.222979019995322,0.444741652393305,0.00450705825649122,2.44086603031185e-06,0.225466985340771,0.00617853081682275,0.03406152929774,1.24238956874893e-06,0.0375652054657476
"TCGA-BT-A42F-01A-11R-A23W-07",2.03084929518932e-06,0.135520654654103,0.509447052415304,0.265654722100952,0.000650933108133019,0.0445995849958757,3.23887148978037e-06,0.0244668068939057,0.000560213735632795,0.0190947623753093
"TCGA-C4-A0EZ-01A-21R-A24X-07",0.199937790006251,0.000671527933025069,2.11183432976688e-06,8.58556065602556e-07,2.30465498763096e-06,0.126973003432676,0.563461871674704,0.0857704373747373,5.60346860222213e-05,0.0231240598472008
"TCGA-C4-A0F0-01A-12R-A10U-07",1.67251607473426e-06,0.0558577030629404,0.347781239582742,8.03287794898897e-07,8.26640838858058e-07,0.184686014460859,0.33537929132817,0.0516560552413632,0.000403681528616548,0.0242327123506004
"TCGA-C4-A0F1-01A-11R-A034-07",8.89357341967862e-07,0.0299068086260348,0.860970143075775,1.48224772553248e-06,5.14429767291639e-07,0.0247389283033971,1.59153785655885e-06,0.0236143075893318,0.000163978786165941,0.0606013560466036
"TCGA-C4-A0F6-01A-11R-A10U-07",0.724748602998041,0.0122766270544788,4.86311225718929e-06,1.54701190987306e-06,1.73626359058908e-06,0.0958008999061021,0.0621841000604827,0.0542038188950999,0.000354437020900458,0.0504233676771381
"TCGA-C4-A0F7-01A-11R-A084-07",0.184861031293067,0.00213764035951868,0.294532815920412,0.0149471871278818,1.4198089709074e-06,0.194448656364351,0.191530252673347,0.0441232575778537,0.000391883939926517,0.073025854934671
"TCGA-CF-A1HR-01A-11R-A13Y-07",0.755784917012801,0.0910692018068279,2.13307198848426e-06,8.94051526631428e-07,1.61959238746668e-06,0.058292180500206,1.45968826219965e-06,0.0562823181673483,0.000653204994702769,0.0379120711139495
"TCGA-CF-A1HS-01A-11R-A13Y-07",0.00272735405278928,0.0719292372930115,0.718068213078532,2.06677227121119e-05,9.70019447873046e-07,0.145269729974682,0.00941345172906579,0.0290357338752814,2.62088395527727e-05,0.0235084334149257
"TCGA-CF-A27C-01A-11R-A16R-07",0.851352662437945,2.42934676005458e-05,2.83467623954616e-06,1.10124291650573e-06,3.37196278996792e-06,0.0959996854982819,0.0450670152120317,0.00559736820515381,7.03318856275074e-06,0.00194463410847854
