pmid,doi,title,year,journal,authors,n_genes,extraction_status,confidence,source,endpoint_overall_survival,endpoint_recurrence,endpoint_progression,endpoint_immunotherapy_response,platform_rna_seq,platform_microarray,platform_tcga,platform_geo,sample_size_mentions,immune_related_by_title_or_abstract
40438104,10.3389/fimmu.2025.1593523,A lactate-related tSNE signature defines prognostic subtypes of bladder cancer and reveals LINC01094-mediated VIM stabilization in metastasis and drug resistance.,2025,,Zhang P; Zhang H; Yu W; Fan D; Pan Y; Zhuang W; Cai F; He Q,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
40348840,10.1007/s12672-025-02581-5,Integrated prognostic assessment of apoptosis and chemotherapy related gene in bladder cancer: a prognostic signature.,2025,,Zhao K; Xu G; Jin J; Peng C; Chen J; Li Y; Wang W; Pan S,4,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
40319103,10.1038/s42003-025-08094-9,Single-cell RNA sequencing reveals a fibroblast gene signature that promotes T-cell infiltration in muscle-invasive bladder cancer.,2025,,Liu Z; Mao X; Xie Y; Yan Y; Wang X; Mi J; Yuan H; Zhang J; Huang C; Chen J,12,extracted,high,fulltext_window,0,0,0,0,1,0,0,0,,0
40376515,10.21037/tau-2024-688,Identification and validation of a 9-RBPs-related gene signature associated with prognosis and immune infiltration in bladder cancer based on bioinformatics analysis and machine learning.,2025,,Chen Y; Yan Z; Li L; Liang Y; Wei X; Zhao Y; Cao Y; Zhang H; Tang L,9,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,1
40427675,10.3390/biology14050486,Integration of Single-Cell and Bulk Transcriptome to Reveal an Endothelial Transition Signature Predicting Bladder Cancer Prognosis.,2025,,Yang J; Wu W; Tang X,6,extracted,high,fulltext,1,0,0,0,1,0,0,0,,0
40330458,10.3389/fimmu.2025.1572034,"Advancing personalized, predictive, and preventive medicine in bladder cancer: a multi-omics and machine learning approach for novel prognostic modeling, immune profiling, and therapeutic target discovery.",2025,,Yan H; Ji X; Li B,8,extracted,high,abstract,1,0,0,0,0,0,0,0,,1
39991573,10.7150/jca.105066,Integrative multi-omics and machine learning identify a robust signature for discriminating prognosis and therapeutic targets in bladder cancer.,2025,,Tan Z; Chen X; Huang Y; Fu S; Li H; Gong C; Lv D; Yang C; Wang J; Ding M,5,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
39867879,10.3389/fimmu.2024.1430583,"Development and validation of a glycolysis-associated gene signature for predicting the prognosis, immune landscape, and drug sensitivity in bladder cancer.",2024,,Shen C; Suo Y; Guo J; Su W; Zhang Z; Yang S; Wu Z; Fan Z; Zhou X; Hu H,14,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
39708127,10.1007/s00262-024-03839-7,Integration of bulk and single-cell RNA-seq reveals prognostic gene signatures in patients with bladder cancer treated with immune checkpoint inhibitors.,2024,,Cho M; Chang H; Kim JH,5,extracted,high,fulltext,1,0,0,1,1,0,0,0,,1
39749345,10.3389/fimmu.2024.1493528,Exploration and validation of a novel reactive oxygen species-related signature for predicting the prognosis and chemotherapy response of patients with bladder cancer.,2024,,Li Y; Zhang L; Xu G; Xu G; Chen J; Zhao K; Li M; Jin J; Peng C; Wang K,17,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
39503984,10.1007/s12672-024-01505-z,Prognosis and immunotherapy significances of a cancer-associated fibroblasts-related gene signature in bladder urothelial carcinoma.,2024,,Chen X; Li Y; Huang J; Zhang Q; Tan C; Liu Y; Du Z,5,extracted,high,abstract_window,1,0,0,1,0,0,0,0,,0
39507864,10.21037/tau-24-456,Cuproptosis-related signature predicts prognosis and indicates tumor immune infiltration in bladder cancer.,2024,,Sheng H; Gu J; Huang Y; Kołat D; Shi G; Yan L; Ye D,13,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
39432593,10.1097/MD.0000000000040133,Construction and multiple validations of a robust ferroptosis-related prognostic model in bladder cancer: A comprehensive study.,2024,,Dai X; Yu K; Wang H; Zhong R; Zhang Z; Hou Y,6,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
39343809,10.1038/s41598-024-73422-8,Development and validation of a novel liquid-liquid phase separation gene signature for bladder cancer.,2024,,Guo S; Su Q; Yang Z; Mo W,6,extracted,high,fulltext_window,0,0,0,0,0,0,0,0,,0
39160525,10.1186/s12885-024-12790-w,Immune checkpoint gene signature assesses immune infiltration profiles in bladder cancer and identifies KRT23 as an immunotherapeutic target.,2024,,Chen D; Cao H; Zheng X; Wang H; Han Z; Wang W,5,extracted,high,fulltext,0,0,0,1,0,0,0,0,,1
39115575,10.1007/s12672-024-01219-2,A metabolic reprogramming-related gene signature correlates with prognosis and proliferation of BLCA.,2024,,Wu Y; Luo Y; Li T,3,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
39033098,10.1186/s12935-024-03447-6,Identification of tumor-specific T cell signature predicting cancer immunotherapy response in bladder cancer by multi-omics analysis and experimental verification.,2024,,Liu X; Chen C; Li J; Li L; Ma M,10,extracted,high,fulltext_window,0,0,0,1,0,0,0,0,,1
39033778,10.18632/aging.206021,Integrating single-cell RNA-seq to identify fibroblast-based molecular subtypes for predicting prognosis and therapeutic response in bladder cancer.,2024,,Wang J; Tan Z; Huang Y; Li C; Zhan P; Wang H; Li H,9,extracted,high,abstract_window,1,0,0,0,1,0,0,0,,0
38735911,10.1007/s12672-024-01008-x,Prognostic significance and immune landscape of a cell cycle progression-related risk model in bladder cancer.,2024,,Tuo Z; Lin Y; Zhang Y; Gao L; Yu D; Wang J; Sun C; Sun X; Wang J; Prasad A,3,extracted,high,abstract,1,0,1,0,0,0,0,0,,1
38714517,10.4111/icu.20230300,"Identification and validation of a signature based on myofibroblastic cancer-associated fibroblast marker genes for predicting prognosis, immune infiltration, and therapeutic response in bladder cancer.",2024,,Qin R; Ma X; Pu S; Shen C; Hu D; Liu C; Wang K; Wang Y,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
38507521,10.18632/aging.205686,Comprehensive analysis of scRNA-seq and bulk RNA-seq reveal the characteristics of disulfidptosis and a prognostic signature in BLCA.,2024,,Deng H; Cheng F; Cheng S,3,extracted,high,fulltext_window,1,0,0,0,1,0,0,0,,0
38439961,10.1016/j.isci.2024.109179,Multiomics profiling of urothelial carcinoma in situ reveals CIS-specific gene signature and immune characteristics.,2024,,Anurag M; Strandgaard T; Kim SH; Dou Y; Comperat E; Al-Ahmadie H; Inman BA; Taber A; Nordentoft I; Jensen JB,6,extracted,high,abstract,0,0,0,0,0,0,0,0,,1
38332160,10.1038/s41598-024-53272-0,A novel anoikis-related gene signature identifies LYPD1 as a novel therapy target for bladder cancer.,2024,,Song Z; Gui S; Xiao S; Rao X; Cong N; Deng H; Yu Z; Zeng T,7,extracted,high,abstract,0,0,0,0,0,0,0,0,,0
38305808,10.18632/aging.205499,Prognostic model development and molecular subtypes identification in bladder urothelial cancer by oxidative stress signatures.,2024,,Dong Y; Wu X; Xu C; Hameed Y; Abdel-Maksoud MA; Almanaa TN; Kotob MH; Al-Qahtani WH; Mahmoud AM; Cho WC,4,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
37594617,10.1007/s12094-023-03270-x,A gene signature of cancer-associated fibroblasts predicts prognosis and treatment response in bladder cancer.,2024,,Chen X; Liao C; Zou X; Zhang B; Mo Z,4,extracted,high,fulltext,1,0,0,0,0,0,0,0,,1
38273010,10.1038/s41598-024-52573-8,Multi-omics reveals the role of ENO1 in bladder cancer and constructs an epithelial-related prognostic model to predict prognosis and efficacy.,2024,,Su Z; You L; He Y; Chen J; Zhang G; Liu Z,6,extracted,high,fulltext,1,0,0,0,0,0,0,0,,0
37849225,10.2174/0113862073256363230929200157,Construction and Validation of a Prognostic Model Based on Pyroptosis-related Genes in Bladder Cancer.,2024,,Shen C; Han C; Li Z; Yan Y; Li C; Chen H; Fan Z; Hu H,11,extracted,low,abstract,1,0,0,0,0,0,0,0,,0
38049825,10.1186/s12894-023-01382-8,Development of a prognostic model to predict BLCA based on anoikis-related gene signature: preliminary findings.,2023,,Zhu S; Zhao Q; Fan Y; Tang C,8,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
37968767,10.1186/s40001-023-01496-7,A sialyltransferases-related gene signature serves as a potential predictor of prognosis and therapeutic response for bladder cancer.,2023,,Cao P; Chen M; Zhang T; Zheng Q; Liu M,7,extracted,high,abstract,1,0,0,0,0,0,0,0,,0
37965307,10.3389/fimmu.2023.1213947,"Identification and validation of a dysregulated TME-related gene signature for predicting prognosis, and immunological properties in bladder cancer.",2023,,Shen C; Chai W; Han J; Zhang Z; Liu X; Yang S; Wang Y; Wang D; Wan F; Fan Z,9,extracted,high,abstract,1,0,0,0,0,0,0,0,,1
37919060,10.31083/j.fbl2810242,Construction and Validation of a Prognostic Model of Metabolism-Related Genes Driven by Somatic Mutation in Bladder Cancer.,2023,,Wei L; Ji L; Han S; Xu M; Yang X,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
37807731,10.19723/j.issn.1671-167X.2023.05.004,[Risk modeling based on HER-2 related genes for bladder cancer survival prognosis assessment].,2023,,Liu HR; Peng X; Li SL; Gou X,5,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
37845668,10.1186/s12894-023-01331-5,"Establishment of prognostic model of bladder cancer based on apoptosis-related genes, in which P4HB promotes BLCA progression.",2023,,Zou Z; Li Z; Sun W; Gao W; Liu B; Liu J; Guo Y,12,extracted,high,fulltext_window,1,0,1,0,0,0,0,0,,0
37876438,10.1016/j.heliyon.2023.e21058,A transcriptome study of p53-pathway related prognostic gene signature set in bladder cancer.,2023,,Khan SM; Das T; Chakraborty S; Choudhury AMAR; Karim HF; Mostofa MA; Ahmed HU; Hossain MA; Le Calvez-Kelm F; Hosen MI,3,extracted,high,abstract,1,0,0,0,1,0,0,0,,0
37747262,10.18632/aging.205022,Complement and coagulation cascades pathway-related signature as a predictor of immunotherapy in metastatic urothelial cancer.,2023,,Gong Z; He Y; Mi X; Li C; Sun X; Wang G; Li L; Han Y; Xu C; Wang W,5,extracted,high,fulltext_window,0,0,0,1,0,0,0,0,,0
37745978,10.1515/med-2023-0773,A prognostic signature based on seven T-cell-related cell clustering genes in bladder urothelial carcinoma.,2023,,Yang J; Zhou F; Yang X; Ma P; Ma X,7,extracted,high,abstract_window,1,0,0,0,0,0,0,0,,0
37244876,10.1007/s00432-023-04881-1,Integrated analysis of single-cell and bulk RNA-sequencing identifies a signature based on T-cell marker genes to predict prognosis and immunotherapy response in bladder cancer.,2023,,Shi X; Dong A; Yang Y; Zheng G; Wang N; Yang C; Wang Y; Lu J; Jia X,7,extracted,high,fulltext,1,0,0,1,1,0,0,0,,0
37588995,10.1515/biol-2022-0682,The G protein-coupled receptor-related gene signatures for predicting prognosis and immunotherapy response in bladder urothelial carcinoma.,2023,,Wan Z; Wang Y; Li C; Zheng D,3,extracted,high,fulltext_window,1,0,0,1,0,0,0,0,,0
37578544,10.1007/s00011-023-01772-6,A novel CD8+ T cell-related gene signature for predicting the prognosis and immunotherapy efficacy in bladder cancer.,2023,,Lin F; Ke ZB; Xue YT; Chen JY; Cai H; Lin YZ; Li XD; Wei Y; Xue XY; Xu N,4,extracted,high,fulltext,1,0,0,1,0,0,0,0,,1
37301098,10.1016/j.compbiomed.2023.106976,FGFR3 mutation characterization identifies prognostic and immune-related gene signatures in bladder cancer.,2023,,Xu PH; Chen S; Wang Y; Jin S; Wang J; Ye D; Zhu X; Shen Y,3,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
37423913,10.1007/s10142-023-01163-4,"Construction and experimental validation of a macrophage cell senescence-related gene signature to evaluate the prognosis, immunotherapeutic sensitivity, and chemotherapy response in bladder cancer.",2023,,Jiang Q; Zhou J; Chen Q; Huang Y; Yang C; Liu C,3,extracted,high,abstract_window,1,0,0,1,0,0,0,0,,1
37379131,10.18632/aging.204753,Construction and experimental validation of a B cell-related gene signature to predict the prognosis and immunotherapeutic sensitivity in bladder cancer.,2023,,Zhou R; Zhou J; Muhuitijiang B; Zeng X; Tan W,9,extracted,low,fulltext,1,0,0,1,0,0,0,0,,1
37152941,10.3389/fendo.2023.1180404,"Crosstalk of disulfidptosis-related subtypes, establishment of a prognostic signature and immune infiltration characteristics in bladder cancer based on a machine learning survival framework.",2023,,Zhao S; Wang L; Ding W; Ye B; Cheng C; Shao J; Liu J; Zhou H,4,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,1
37064115,10.3389/fonc.2023.972558,Identification of a novel defined inflammation-related long noncoding RNA signature contributes to predicting prognosis and distinction between the cold and hot tumors in bladder cancer.,2023,,Xiong X; Chen C; Li X; Yang J; Zhang W; Wang X; Zhang H; Peng M; Li L; Luo P,5,extracted,high,fulltext_window,1,0,0,0,0,0,0,0,,0
36973645,10.1186/s12859-023-05241-z,Identification and validation of tumor-infiltrating lymphocyte-related prognosis signature for predicting prognosis and immunotherapeutic response in bladder cancer.,2023,,Li C; Xie W,5,extracted,high,fulltext_window,1,0,0,1,0,0,0,0,,0
