"","Normal_urothelial","Myeloid","Tumor_epithelial","NK_cell","B_plasma","Endothelial","T_cell","Myofibroblast","Fibroblast"
"TCGA-CF-A9FF-01A-11R-A38B-07",0.68657247575535,0.00721298186821759,0.00319088220284796,0,0,0.049369922771396,0,0.122678638094391,0.130975099307797
"TCGA-CF-A9FH-01A-11R-A38B-07",0.264223203246958,0.000166907607388401,0.46280037032138,0,0,0.212209558510227,0,0.0601667202721964,0.00043324004185086
"TCGA-CF-A9FL-01A-11R-A38B-07",0.156635788166657,0.0001113960263676,0.509929543640169,0,0,0.0300906061335005,0,0.0564016956176967,0.246830970415609
"TCGA-CF-A9FM-01A-11R-A38B-07",0,0.013259351189565,0.767971020237933,0,0,0.15646713101301,0,0.02527695480321,0.0370255427562826
"TCGA-CU-A0YN-01A-21R-A10U-07",0.00148111290710531,0.00864337261128312,0.23276791372121,0,0,0.288430439937021,0.0392289883476433,0,0.429448172475737
"TCGA-CU-A0YO-01A-11R-A10U-07",0,0.00994658350608382,0.39877882362115,0,0,0.256988379447207,0.00652236588413342,0.144093248915288,0.183670598626137
"TCGA-CU-A0YR-01A-12R-A10U-07",0.372041832436206,0.282829646856494,0,0,0,0.0116989334254111,0,0.0276574165351495,0.305772170746739
"TCGA-CU-A3KJ-01A-11R-A21D-07",0,0.106845986275327,0.0687834516990739,0,0,0.424778419707655,0.135269383632102,0.0294534693545869,0.234869289331256
"TCGA-CU-A3QU-01A-11R-A22U-07",0.490924195701145,0.209091470153614,0,0,0,0.268935857698011,0,0,0.0310484764472304
"TCGA-CU-A3YL-01A-11R-A22U-07",0.310608877828147,0,0.360614514322648,0,0,0.191663980717374,0,0.0598110412454628,0.0773015858863688
"TCGA-CU-A5W6-01A-11R-A28M-07",0.534896067657931,0.0300713443910015,0.0622055571091451,0,0,0.155840929061332,0,0.0313659926868437,0.185620109093747
"TCGA-CU-A72E-01A-12R-A33J-07",0.0393029637683302,0.0654565184476013,0.556771486565508,0,0,0.0326982719463433,0,0.098289116877804,0.207481642394413
